,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
11395,14,14,14,12,12,12,12,12,12,12,12,25,14,12,14,12,12,12,12,14,14,12,25,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13191,14,1,12,12,1,14,12,25,14,1,14,13,14,25,14,14,1,14,1,14,7,25,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2562,25,12,1,12,12,12,11,11,11,25,1,14,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5320,25,14,25,14,14,1,12,1,14,12,14,14,1,14,1,25,14,14,14,12,14,13,14,14,14,1,25,25,14,14,7,14,25,14,1,1,25,25,1,1,12,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8701,14,14,7,1,14,12,1,11,1,1,1,7,1,14,1,1,1,7,12,7,1,14,11,1,1,11,14,1,7,6,11,2,1,7,1,11,1,1,14,11,7,1,13,1,11,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8694,14,14,1,14,1,1,1,1,1,14,1,1,1,12,1,14,1,1,14,1,2,1,1,1,1,14,1,13,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5811,25,12,14,1,14,14,1,12,1,12,1,1,14,1,14,14,1,12,25,1,1,14,1,14,14,1,1,1,25,1,14,1,14,13,14,14,1,25,2,1,14,14,14,1,1,25,1,1,1,14,1,14,1,1,7,25,1,14,1,1,1,1,1,25,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2753,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3537,1,6,6,12,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11242,14,14,12,12,12,12,14,14,12,12,12,14,12,14,12,12,14,12,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11260,14,12,12,12,12,14,14,14,12,12,14,12,12,12,12,12,12,14,12,12,12,14,12,12,14,14,12,14,14,14,12,12,12,12,12,14,14,12,12,12,12,12,12,12,12,12,12,14,12,12,12,14,12,12,14,14,12,12,12,12,12,12,12,12,12,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6364,25,14,12,14,1,14,14,1,14,1,25,12,2,1,14,1,14,12,1,14,1,14,1,1,1,25,14,14,1,12,1,1,1,14,1,14,1,25,1,1,1,14,1,7,14,14,25,1,1,1,1,14,25,1,1,14,1,1,1,1,25,1,14,1,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7113,25,12,1,1,12,1,12,1,1,1,12,1,1,1,1,25,1,1,11,1,2,1,11,1,11,1,25,1,1,1,1,1,14,25,1,1,1,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8267,14,14,1,14,1,17,14,1,1,2,1,1,1,14,1,1,14,1,1,1,1,14,14,14,1,13,1,1,14,14,14,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1444,1,1,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7036,25,12,14,1,14,1,14,1,12,7,7,1,12,12,12,7,1,1,14,1,11,14,14,1,12,25,1,1,14,11,7,1,12,7,11,7,14,14,1,1,1,7,25,1,14,1,14,1,11,13,7,7,14,7,14,1,25,7,2,1,14,14,11,14,7,1,7,7,11,1,25,1,12,7,1,1,14,1,14,12,1,1,11,7,7,7,7,25,1,14,1,1,1,1,1,25,1,1,12,0
9132,14,12,14,14,12,14,14,14,1,14,14,1,1,1,1,12,1,1,14,14,13,14,1,14,1,13,1,14,1,12,12,1,1,14,14,12,14,14,14,1,14,14,13,1,14,14,1,12,12,13,1,14,1,1,14,1,14,12,14,14,13,1,14,1,12,1,14,1,12,14,14,1,12,1,1,13,1,12,12,12,1,14,13,14,1,12,1,14,12,1,1,12,13,12,14,14,14,0,0,0
3579,14,12,14,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5446,25,12,14,1,25,14,14,1,12,1,1,14,1,1,12,14,1,1,14,1,1,14,1,1,25,1,14,14,14,1,12,1,14,11,13,14,14,1,14,1,25,1,2,1,14,14,11,7,14,25,1,1,14,11,1,1,1,1,1,25,1,25,1,1,12,1,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2966,25,14,14,1,12,7,1,12,1,14,11,25,1,14,1,7,11,14,14,1,1,1,25,14,14,1,25,2,14,14,7,7,11,25,1,1,14,14,7,7,7,14,1,1,25,1,12,14,1,7,6,7,1,1,14,14,1,12,1,11,7,7,7,1,1,11,13,7,7,14,14,7,14,7,1,14,11,7,1,1,7,1,1,1,1,11,7,25,1,1,1,1,12,0,0,0,0,0,0,0
6263,25,1,12,7,7,12,12,12,7,11,12,7,7,11,7,7,25,11,7,7,7,1,7,11,7,7,7,11,1,25,7,1,11,7,7,14,7,25,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4136,14,1,12,14,1,1,14,14,12,13,14,14,14,7,14,1,1,12,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
